algoritmo,generacion,fitness,NFE,tiempo
Mejorado,62,-292,6472,1.709954023361206
Mejorado,63,-292,6576,1.7299530506134033
Mejorado,64,-292,6680,1.7509512901306152
Mejorado,65,-292,6784,1.773956298828125
Mejorado,66,-292,6888,1.7944211959838867
Mejorado,67,-292,6992,1.8134393692016602
Mejorado,68,-292,7096,1.832421064376831
Mejorado,69,-292,7200,1.85141921043396
Mejorado,70,-292,7304,1.8724417686462402
Mejorado,71,-292,7408,1.8980140686035156
Mejorado,72,-292,7512,1.9200124740600586
Mejorado,73,-292,7616,1.944007396697998
Mejorado,74,-292,7720,1.965027093887329
Mejorado,75,-292,7824,1.9880180358886719
Mejorado,76,-292,7928,2.0076894760131836
Mejorado,77,-292,8032,2.0336928367614746
Mejorado,78,-292,8136,2.0526957511901855
Mejorado,79,-292,8240,2.0716795921325684
Mejorado,80,-292,8344,2.0931878089904785
Mejorado,81,-292,8448,2.1142055988311768
Mejorado,82,-292,8552,2.13645339012146
Mejorado,83,-292,8656,2.1594858169555664
Mejorado,84,-292,8760,2.179574966430664
Mejorado,85,-292,8864,2.199096918106079
Mejorado,86,-292,8968,2.2180960178375244
Mejorado,87,-292,9072,2.2370975017547607
Mejorado,88,-292,9176,2.257080078125
Mejorado,89,-292,9280,2.2760872840881348
Mejorado,90,-292,9384,2.29410457611084
Mejorado,91,-292,9488,2.3141233921051025
Mejorado,92,-292,9592,2.334104061126709
Mejorado,93,-292,9696,2.3521039485931396
Mejorado,94,-292,9800,2.3711915016174316
Mejorado,95,-292,9904,2.3902764320373535
Mejorado,96,-292,10008,2.4136552810668945
Mejorado,97,-292,10112,2.43664813041687
Mejorado,98,-292,10216,2.4636521339416504
Mejorado,99,-292,10320,2.4859042167663574
Mejorado,100,-292,10424,2.5099151134490967
